,CompanyName,number_of_permits_applied_for,PlanReviewAverageDays
3664,BENCO CONTRACTORS GROUP CORP.,4.0,30.25
3665,P.M ELECTRICAL CONTRACTORS INC,4.0,2.75
3666,DAYCA ENTERPRISES INC.,4.0,146.75
3667,C & C ELECTRICAL CONTRACTORS,4.0,128.0
3668,4D Construction LLC,4.0,127.75
3669,SB ENGINEERING INC,4.0,62.5
3670,ELDER JONES INC,4.0,622.25
3671,L & L INTERIORS & REMODELING INC,4.0,13.5
3672,INSPIRAMAR CONSTRUCTION,4.0,155.5
3673,Dangond Construction Co LLC,4.0,157.25
3674,A/C SERVICES DORAL  INC,4.0,3.75
3675,WALKER HOMEBUILDERS INC,4.0,268.25
3676,MELHEM CONSTRUCTION GROUP CORP,4.0,25.0
3677,MILIANI CONSTRUCTION CORP,4.0,58.25
3678,MR. CRICKET  INC.,4.0,37.5
3679,ARESSCO SERVICES INC,4.0,3.0
3680,MORENO & GORRIN POWER CORP,4.0,446.25
3681,CAB CONSTRUCTIONS LLC,4.0,30.75
3682,Built By Owner Inc.,4.0,21.25
3683,KINTEX PLUMBING LLC,4.0,0.0
3684,LCM Professional Services LLC,4.0,47.75
3685,Stone & Properties Group LLC,4.0,42.25
3686,STRUCTURAL PRESERVATION SYSTEMS LLC,4.0,85.75
3687,FORTY SIX GROUP CONSTRUCTION LLC,4.0,70.0
3688,EPIC CONSTRUCTION INC,4.0,361.0
3689,ELITE PLUMBING SEPTIC & SEWER INC,4.0,128.5
3690,J.A. CONSTRUCTION COMPANY  INC,4.0,346.0
3691,R&D REMODELING INC,4.0,47.25
3692,ALL CONSTRUCTION SYSTEMS INC,4.0,90.75
3693,Evenings Delight  of  FT Lauderdale,4.0,16.0
3694,DEPOT ELECTRIC CORP,4.0,94.5
3695,O & Y OPTIMAL CONSTRUCTION  CORP,4.0,60.5
3696,MATSA CONSTRUCTION CO INC.,4.0,83.5
3697,Sunset Contractors Inc.,4.0,6.5
3698,Advanced Mobility  Inc,4.0,13.25
3699,Terranova Construction Group Inc,4.0,295.5
3700,REZONATE INDUSTRIES INC,4.0,15.25
3701,BELKAY CONSTRUCTION  LLC,4.0,24.0
3702,INTELLITECH SYSTEMS INC,4.0,24.25
3703,SAIVAY CONSTRUCTION INC DBA JS ELECTRICAL CONTRACTOR INC DBA ADVANCE ROOFING & WATERP,4.0,90.5
3704,VALERO POOLS,4.0,58.25
3705,WHITE ROSE LANSCAPE AND MAINTENANCE INC,4.0,1016.75
3706,MORAN AIR CONDITIONING  INC.,4.0,0.75
3707,Urban Redevelopment Corp,4.0,170.75
3708,Infinity Windows Doors & Roofing Corp,4.0,34.25
3709,GWW CONSTRUCTION INC,4.0,18.5
3710,Florida Sol Systems Inc.,4.0,3.25
3711,CLEAN AND CLEAR CLEANING SERVICES CORP,4.0,2.0
3712,Flooring Kingdom Inc.,4.0,9.75
3713,J. FONSECA.LLC,4.0,11.5
3714,CREATIVE LIGHTING & POWER  LLC,4.0,144.5
3715,MEDICAL CONSULTANTS PLUS INC,4.0,40.25
3716,ABC CONSTRUCTION INC,4.0,246.25
3717,Pro Plumbing Service and Repair Inc.,4.0,359.0
3718,US SIGN AND MILL CORP,4.0,51.75
3719,LUXON CONSTRUCTION LLC,4.0,104.75
3720,ALEXANDER CONSTRUCTION & DEVELOPMENT INC,4.0,145.5
3721,Sunshine Air HVAC Inc,4.0,258.25
3722,JW PLUMBING COMPANY,4.0,0.0
3723,ULTRA LOW TEMP INC,4.0,415.75
3724,Phoenix Aluminum Products LLC,4.0,31.25
3725,ONE GENERAL CONTRACTORS LLC,4.0,42.0
3726,AXXIS HOME DEVELOPERS INC,4.0,81.0
3727,I & M Corporation dba Best Air Solutions,4.0,1138.25
3728,ATO GOLDEN CONSTRUCTION CORP,4.0,111.75
3729,Persant Construction Company Inc.,4.0,506.75
3730,ER FLORIDA ROOFING LLC,4.0,13.25
3731,LANDSCAPE SERVICE PROFESSIONALS  inc.,4.0,262.75
3732,UTILITY MASTERS INC,4.0,25.25
3733,MERRICK ROOFING INC,4.0,3.25
3734,M M FENCE & SITEWORK CORP,4.0,125.75
3735,ASCEND CONSTRUCTION LLC,4.0,132.0
3736,Horton Jones Electrical Cont,4.0,194.25
3737,Flex Florida Corporation dba Best Awnings,4.0,99.0
3738,Cold and Ready Corp,4.0,47.0
3739,PHI CONSTRUCTION INC,4.0,22.75
3740,BRIGHT STAR ELECTRIC LLC,4.0,491.25
3741,CODE 1 ELECTRIC LLC,4.0,97.0
3742,Kline Brothers Electric Inc,4.0,174.0
3743,New Pipe Plumbing Inc,4.0,164.25
3744,SOUTH FLORIDA RESTORATION INC,4.0,57.25
3745,YELLOW HORN INC,4.0,352.75
3746,M H ELECTRICAL SERVICES INC,4.0,32.25
3747,Tua Minority Builder  LLC,4.0,146.5
3748,COMET ELECTRIC AND EQUIPMENT  L.L.C.,4.0,77.25
3749,GM Automation AV LLC,4.0,26.75
3750,DAN PALIVODA & SONS ELECTRIC,4.0,61.25
3751,JAMES P. MORAN  INC.,4.0,76.0
3752,LIVING WATER CUSTOM POOLS INC,4.0,108.25
3753,Thunder Construction Corp,4.0,104.75
3754,DEPARTMENT OF GREEN ENERGY INC.,4.0,104.0
3755,DARNA SERVICE INS,4.0,113.5
3756,CIELO ROOFING INC,4.0,26.75
3757,Statewide A/C Services Inc,4.0,664.25
3758,L. B. ELECTRIC INC,4.0,99.75
3759,SAAD REMODELING & CUSTOM HOME BUILDERS INC,4.0,50.25
3760,CONSTRUCTION VOSS  LLC,4.0,37.0
3761,AMERICAN TECHNOSYSTEMS AIR CONDITIONING CO.  INC.,4.0,422.0
3762,IOTY  INC.,4.0,148.25
3763,ALPHA WRECKING GROUP,4.0,106.5
3764,INTEGRATED SIGN & GRAPHIC  INC,4.0,41.0
3765,Reece Builders East Coast Division,4.0,44.25
3766,Prestige Fire Protection  Inc,4.0,51.0
3767,Souffront Constructions Group Ltd Co,4.0,37.75
3768,MTD COMMUNICATIONS  INC,4.0,8.25
3769,Ducto Limpio LLC/ ABH Air Conditioning,4.0,39.75
3770,BANDKLAYDER DEVELOPMENT LLC,4.0,377.75
3771,NORTHWEST PAINT & AWNING SERVICES CORP.,4.0,127.0
3772,SJE DESIGN & CONSTRUCTION,4.0,49.75
3773,TITAN DEVELOPERS INC,4.0,106.25
3774,Greenline Home Theater Inc.,4.0,4.75
3775,Advanced Control Corp.,4.0,38.25
3776,West Palm Impact Systems  LLC,4.0,105.25
3777,WEGLOBAL ELECTRIC LLC,4.0,269.0
3778,PICTURE PERFECT POOLS OF BROWARD COUNTY  INC.,4.0,178.0
3779,FLORIDA A/C SYSTEMS  LLC.,4.0,0.0
3780,INFINITY CONSTRUCTION CORP.,4.0,83.5
3781,LS CUSTOM ELECTRIC INC,4.0,120.0
3782,H. BETOS PLUMBING INC,4.0,119.0
3783,Eagle Concrete Corp.,4.0,142.75
3784,American Eagle Electric Corp.,4.0,260.25
3785,Air Polar Installations Inc,4.0,1071.5
3786,ANISENN INC,4.0,44.75
3787,Olex Electric Inc. dba Olexis Jam,4.0,9.0
3788,PRT COOL SERVICE  INC.,4.0,9.0
3789,BRADY roofing and sheet metal inc,4.0,50.25
3790,THE ROADS 23 CORP,4.0,48.75
3791,Vantage Integration Inc DBA A T & I Systems Inc,4.0,24.25
3792,E & D Quality Install Inc.,4.0,20.5
3793,MIRABAL ENGINEER  CONTRACTOR INC,4.0,90.25
3794,NOVA HOTEL RENOVATION & CONSTRUCTION LLC,4.0,176.0
3795,ELITE AMERICAN INC,4.0,427.0
3796,Florida Metro Construction Company Inc,4.0,61.75
3797,CASA BATISTA LLC.,4.0,761.5
3798,Good Air Inc.,4.0,527.25
3799,TELECOMMUNICATIONS TECHNICAL SERVICES DBA TELETECHSERV GA  LLC.,4.0,112.5
3800,GUARDIAN FUELING TECHNOLOGIES  LLC,4.0,99.0
3801,SANTAMARIA TRUCKING INC,4.0,57.75
3802,SEWER SAVERS INC.,4.0,379.25
3803,City & Environs Group Inc.,4.0,745.75
3804,DEMART ELECTRIC LLC,4.0,365.25
3805,PROFESSIONAL ENGINEERING SOLUTIONS  INC,4.0,451.25
3806,DAW BUILDERS INC,4.0,30.25
3807,TI/CON BUILDING SYSTEM LLC,4.0,18.75
3808,BROPHY ASSOCIATES INC/ DBA DIRECT DIGITAL CONCEPTS,4.0,32.0
3809,Designer Sign Systems Inc.,4.0,112.0
3810,accurate air and heat corp,4.0,170.25
3811,Colonial Windows Corp,4.0,132.5
3812,TOWER ELECTRIC CONTRACTORS  INC.,4.0,29.75
3813,Keystone Critical Systems & Advisors,4.0,2.0
3814,Bryanv Flooring LLC,4.0,6.75
3815,FLASH ROOFING AND SHEET METAL LLC,4.0,19.75
3816,Sunshine Electric professional Inc,4.0,72.25
3817,THE GIBRALTAR GROUP INC.,4.0,570.0
3818,Greenbrook at Kendall Inc.,4.0,119.0
3819,POSEIDON DREDGE AND MARINE INC,4.0,311.0
3820,Speed Power Electrical Corp,4.0,20.75
3821,SOUTH ROOFING & WATERPROOFING CORP.,4.0,60.5
3822,CRR GENERAL CONTRACTOR,4.0,107.75
3823,GOYA CORP,4.0,44.0
3824,Villa Pools Corp,4.0,101.5
3825,JOD CONSULTANT INC,4.0,94.0
3826,FRANK DELCARLO CONSTRUCTION CO INC,4.0,22.5
3827,DSC CONSTRUCTION INC,4.0,506.25
3828,COMMUNITY AIR CONDITIONING  INC.,4.0,144.0
3829,SUN EAGLE GENERAL CONTRACTORS CORP,4.0,132.5
3830,SOUTHERN FLOW PLUMBING INC,4.0,180.5
3831,J & A Air Conditioning Corp.,4.0,481.75
3832,QT Electric Inc.,4.0,26.5
3833,STEADY BUILDERS GROUP  INC.,4.0,36.75
3834,MUNDIVEN CORPORATION,4.0,59.25
3835,Costa Air Conditioning Inc.,4.0,241.25
3836,MIAMIDADE WASD,4.0,143.5
3837,LARA ELECTRIC,4.0,187.75
3838,J & M SCAFFOLDS OF FLORIDA INC,4.0,43.75
3839,MASTER EXCAVATORS INC,4.0,366.75
3840,E M Construction Group LLC,4.0,49.5
3841,LINAR CONSTRUCTION GROUP LLC,4.0,150.75
3842,M S SERVICES & ELECTRICAL CONTRACTOR CORP,4.0,107.5
3843,Herrera Electric LLC,4.0,101.75
3844,Classic Installations LLC,4.0,37.25
3845,OLYMPUS CONSTRUCTION MANAGEMENT CORP,4.0,235.75
3846,AVENTURA ELEVATOR  INC.,4.0,29.25
3847,GEMSTONE BUILDERS LLC,4.0,100.5
3848,D.C. ENGINEERING AND CONSTRUCTION GROUP  INC,4.0,41.0
3849,BARI NATIONAL BUILDERS LLC,4.0,34.75
3850,PERPETUAL ADVANCEMENT ENTERPRISE,4.0,170.25
3851,TROPICAL ELECTRIC INC,4.0,85.25
3852,Vision Pools of Miami Inc.,4.0,96.5
3853,DIXIE PLUMBING SERVICE  INC.,4.0,261.5
3854,2 C Design LLC,4.0,100.0
3855,ATLANTIC COAST DRILLING INC,4.0,7.0
3856,Universal Electrical Services,4.0,100.0
3857,MAGNUM BUILDERS CONSTRUCTION INC,4.0,197.75
3858,RAULDEL ELECTRICAL CORPORATION,4.0,92.5
3859,PADEXPO STONE & COVERING LLC,4.0,16.75
3860,Elpro Systems Inc.,4.0,31.25
3861,LATROBE DEVELOPMENT  INC.,4.0,89.25
3862,AARON BUILDERS LLC,4.0,159.25
3863,Almor Electric & Design  INC.,4.0,233.75
3864,KIKO PLUMBING INC,4.0,210.25
3865,Norwood Electrical Solutions  LLC,4.0,909.5
3866,CDP CONSTRUCTION LLC,4.0,657.25
3867,ENVIRONMENTAL RESTORATION OF NEW HAMPSHIRE INC.,4.0,45.5
3868,ALL AMERICAN RESTAURANT SERVICES INC,4.0,42.5
3869,Beach Resort Services Inc DBA BRS POOL SPA FOUNTAIN,4.0,31.25
3870,XTREME APPLIANCES AIR CONDITIONING & HEATING  INC,4.0,146.0
3871,C & D PLUMBING INC,4.0,224.5
3872,MICRO SECURITY SOLUTIONS  INC.,4.0,23.25
3873,BYTEWISE SOLUTIONS INC,4.0,132.75
3874,JEMS ELECTRIC  CORP.,4.0,165.25
3875,BLUE DIAMOND AIR CONDITION INC,4.0,73.0
3876,Quintana Electric Brothers Inc.,4.0,333.75
3877,RELIABLE AND QUALITY WOOD FLOORING INC,4.0,21.0
3878,LEON AMERICA CONSTRUCTION LLC,4.0,285.25
3879,HVAC INSTALLS AND SERVICE LLC,4.0,368.0
3880,M.C. DEAN INC.,4.0,33.25
3881,DARCO HEAVY EQUIPMENT CORP.,4.0,548.75
3882,AMERIS BEST HOME INC,4.0,10.75
3883,CAON ENTERPRISE  CORP,4.0,27.25
3884,Spazio Home Inc,4.0,42.75
3885,INTERLINK GROUP PROFESSIONAL SERVICES  INC.,4.0,45.75
3886,CHOPPERS CONSTRUCTION CORP.,4.0,232.5
3887,GUZMAN CONSTRUCTION  INC,4.0,101.0
3888,Raig Construction & Carpentry LLC,4.0,29.25
3889,TANTRUM CONSTRUCTION CORP,4.0,234.25
3890,PROTOCOOL COOLING SOLUTIONS  INC.,4.0,8.25
3891,TROPICAL AIR SYSTEMS INC,4.0,2.0
3892,XFINITY AIR CONDITION CONTRACTORS CORP,4.0,1310.75
3893,MGM EQUIPMENT  LLC,4.0,141.75
3894,SKYPE ELECTRIC INC,4.0,73.75
3895,ALL FLORIDA GENERAL CONSTRUCTION INC.,4.0,43.0
3896,FULLCOVER ROOFING SYSTEMS INC,4.0,17.5
3897,Unitrust Contractors Corp.,4.0,119.75
3898,CASA TUA CONSTRUCTION GROUP LLC,4.0,29.75
3899,NODA ELECTRIC INC,4.0,77.75
3900,Shoreline Foundation Inc.,4.0,306.75
3901,Marble Design Collection Inc.,4.0,3.25
3902,WEBB MANAGEMENT INC,4.0,22.0
3903,FLORIDA HVAC CONTRACTOR INC.,4.0,131.25
3904,THE ORIGIN BUILDING GROUP  LLC,4.0,73.75
3905,MAC CONSTRUCTION LLC,4.0,185.5
3906,AGC CONSULTING CIVIL ENGINEERS AND GENERAL CONTRACTORS INC,4.0,114.0
3907,Pontifex Construction Group Inc.,4.0,283.25
3908,JOE CELESTIN CIVIL ENGINEER & GEN BLDR /BDA NCEF,4.0,89.5
3909,H. L. SUPERIOR REMODELING CORP.,4.0,23.25
3910,COASTAL INNOVATIONS,4.0,442.25
3911,CV SIGNS INC,4.0,153.0
3912,WEBB PROPERTIES & IMPROVEMENTS  INC,4.0,80.25
3913,APOGEE MECHANICAL LLC,4.0,12.5
3914,ELITE INTEGRATION SOLUTIONS,4.0,2.5
3915,MAGNOLIA DESIGN CENTER,4.0,1.0
3916,EXCELL REFRIGERATION  INC.,4.0,83.0
3917,JV PALMA ELECTRIC CORP,4.0,93.5
3918,U.S. PREMIER CONSTRUCTION INC,4.0,390.0
3919,C & C BUILDING INVESTMENTS INC,4.0,66.5
3920,MAJOVI BUILDERS CORPORATION,4.0,69.75
3921,GAMMA CONSTRUCTION LLC,4.0,170.5
3922,VERICON CONSTRUCTION COMPANY LLC,4.0,67.25
3923,ARUBA CONSTRUCTION CORP.,4.0,21.75
3924,CADIMA ELECTRIC INC,4.0,103.0
3925,SUNNY BRICK PAVERS INC,4.0,538.5
3926,HARBOUR MARINE SYSTEMS  INC DBA VIDELIOHMS,4.0,92.25
3927,OPJ CONSTRUCTIONS CORP,4.0,34.5
3928,Maray Construction Corp.,4.0,80.5
3929,Alscon Development LLC,4.0,467.5
3930,ADVANCED ELECTRICAL SOLUTIONS  INC.,4.0,23.5
3931,International C & C Corporation DBA Sign Xpress,4.0,349.0
3932,RUIZ TRANS DEVELOPMENT CORP,4.0,337.0
3933,BH BUILDERS PRO LLC,4.0,366.0
3934,LStone Investments Corp.,4.0,26.5
3935,ELECTRICAL CONTRACTING SERVICE  INC,4.0,163.25
3936,GREEN LABEL CONSTRUCTION INC,4.0,73.75
3937,CMC CONSTRUCTION COMPANY,4.0,172.0
3938,Always on Electric Inc.,4.0,21.75
3939,ALFA GLASS & MIRROR CORP.,4.0,136.0
3940,SHIELD ROOFING LLC,4.0,29.5
3941,G&D ENGINEERING AND CONSTRUCTION,4.0,161.5
3942,1 STOP UPGRADES INC,4.0,17.75
3943,DONERITE PUMPS INC,4.0,173.0
3944,A & M INTERIORS & SERVICES  CORP,4.0,8.0
3945,CALIBER 1 CONSTRUCTION  INC.,4.0,81.5
3946,JORGE E. HERNANDEZ (INDIVIDUAL),4.0,22.0
3947,EUROSTYLE CONSTRUCTION INC/NJ SHUTTERS INC,4.0,127.0
3948,AIRTHRONE SERVICES INC,4.0,379.25
3949,GENERAL PLUMBING 24 HOUR REPAIR  INC,4.0,42.25
3950,FONTAINE POOLS LLC,4.0,42.75
3951,EU ELECTRICAL SERVICES LLC,4.0,351.75
3952,CAINDEMO LLC,4.0,81.75
3953,A ALL WRIGHT AIR CONDITIONING & ELECTRIC INC.,4.0,0.0
3954,Angular Stone LLC DBA HOME REMODELING & DESIGN,4.0,369.0
3955,Acer Plumbing,4.0,136.75
3956,U T Elevator Repair Inc.,4.0,4.5
3957,INTERNATIONAL CLAY USA CORP,4.0,75.5
3958,MGM GENERAL CONTRACTING INC,4.0,519.25
3959,ELEKTRICAL ADVANTAGE INC,4.0,274.75
3960,Comfort Service & Repair,4.0,0.0
3961,GREEN THUMB LANDSCAPE DESIGN  INC,4.0,1349.25
3962,alexpolo electrical service corp,4.0,321.75
3963,R AND R REFRIGERATION AND AC SERVICE,4.0,133.25
3964,J & V AIR CONDITIONING  INC.,4.0,577.75
3965,South Security Inc.,4.0,15.25
3966,COLLIER ELECTRIC COMPANY OF FT.MYERS  INC,4.0,162.0
3967,Built By Brian INC,4.0,180.25
3968,SOUTHBAY BUILDERS CONTRACTOR,4.0,87.5
3969,AAB FIRE AND ELECTRICAL CORP,4.0,628.75
3970,Baltic Shutters Inc,4.0,46.0
3971,HENRY KARP  INC. DBA HENRY AND CO,4.0,92.0
3972,SMART POWER ELECTRIC LLC,4.0,119.5
3973,SOUTHERN SIGN INSTALLATION INC,4.0,331.5
3974,Exact Construction Inc.,4.0,81.5
3975,**EIN # INACTIVE**,4.0,98.5
3976,MIAMI POWER COMPANY,4.0,210.0
3977,IGLAIR AIR CONDITIONING SOLUTIONS LLC,4.0,67.75
3978,M.B. ELECTRIC & SECURITY  INC,4.0,221.0
3979,MICHAEL ELECTRIC  INC.,4.0,256.75
3980,ALL STATE CONSTRUCTION GROUP CORP,4.0,68.75
3981,MGO CONSTRUCTION LLC,4.0,149.25
3982,All Dade Roofing,4.0,11.5
3983,GLOBAL PERFORMANCE WINDOWS INC dba EPSYLON USA,4.0,55.5
3984,IRONCLAD PROJECTS LLC,4.0,38.75
3985,CENTURY FIRE PROTECTION  LLC,4.0,32.25
3986,ADT SECURITY SERVICES dba ADT LLC,4.0,21.5
3987,CREATIVE SIGN DESIGNS  LLC,4.0,132.75
3988,DR ROOTER LLC,4.0,327.25
3989,TITAN ELECTRICAL CONTRACTORS INC,4.0,130.0
3990,ROFER CONSTRUCTION INC,4.0,88.25
3991,A TO Z STATEWIDE PLUMBING INC,4.0,68.5
3992,ROLLING DOORS.COM SERVICES LLC,4.0,66.25
3993,SPARTAN SHIELD RU CONTRACTORS INC,4.0,12.5
3994,CDS2 Corp,4.0,242.75
3995,GUINN & SONS HURRICANE PROTECTION INC,4.0,17.25
3996,CITY OF MIAMI,4.0,31.25
3997,ALLIED CONTRACTORS  INC,4.0,87.25
3998,UNLIMITED LAWN IRRIGATION INC,4.0,93.25
3999,Reliable Sprinkler System,4.0,11.25
4000,AMBIENT SOUNDS AND SECURITY SYSTEMS  INC,4.0,122.0
4001,Mac All Design Corp,4.0,13.5
4002,Telesco Construction Management  Inc,4.0,283.25
4003,NF Service Group  INC.,4.0,7.75
4004,ALL KNIGHT PLUMBING,4.0,454.0
4005,V V SPECIALTY BUILDERS CORPORATION,4.0,37.75
4006,ROUEN SERVICES  INC,4.0,42.25
4007,GREENHOME AUTOMATIONS LLC,4.0,5.5
4008,Scorpio Electric Inc.,4.0,165.0
4009,ESCALA CONSTRUCTION INC,4.0,41.5
4010,MR. FENCE LLC,4.0,144.0
4011,DNA Construction Corp.,4.0,323.25
4012,Y & TA BUILDING CONSULTING LLC,4.0,63.5
4013,DESIGNER POOLS INC,4.0,175.5
4014,My Luxury Outdoors Corp,4.0,111.75
4015,NICOT AIR CONDITIONING,4.0,324.0
4016,Pros Plumbing Services Corp.,4.0,201.25
4017,GABLES GROVE CONSTRUCTION MANAGEMENT  INC.,4.0,64.0
4018,METAL ROOF MASTER CORP,4.0,629.75
4019,Techpro Security Products  LLC,4.0,150.25
4020,DIVERSIFIED ENERGY INC.,4.0,5.5
4021,GREEN KEY BUILDERS INC,4.0,533.25
4022,AMEG SERVICES  INC.,4.0,243.5
4023,G & H ELECTRIC INC,4.0,183.0
4024,C.S.T. ELECTRICAL CONTRACTORS  INC.,4.0,201.75
4025,SERINCA CONSTRUCTION GROUP LLC,4.0,53.75
4026,Nottoli construction & Remodeling Inc.,4.0,350.75
4027,A D R DEVELOPMENT CORP,4.0,34.5
4028,EVEREST BUILDERS INC,4.0,48.0
4029,ALL DESIGN CONCRETE CORP,4.0,108.5
4030,AAV GContractors Inc,4.0,165.75
4031,ARCON GROUP INC.,4.0,115.75
4032,Pollux Air Conditioning Services INC,4.0,450.75
4033,JLS ELECTRICAL SERVICES INC,4.0,132.25
4034,V & V MECHANICAL CONTRACTORS  INC,4.0,161.5
4035,SANTYS AIR CONDITIONING & REFRIGERATION INC,4.0,40.5
4036,Fikon Corp,4.0,260.5
4037,Aladdin Plumbing & Construction Corp.,4.0,244.0
4038,OSCARS HOME SOLUTIONS INC.,4.0,120.0
4039,ECO MECHANICAL CONTRACTOR INC.,4.0,146.5
4040,Martin Martin Renovations  Inc./BATH FITTER,4.0,30.5
4041,Air Pros LLC,4.0,3.75
4042,Ice Age Heating and Cooling Inc.,4.0,122.0
4043,Metropolis Construction Services Inc.,4.0,644.75
4044,J & D Roofing Contractors Inc.,4.0,14.0
4045,Springs Roofing Corp,4.0,21.5
4046,SS Services and Technology Corp.,4.0,0.75
4047,DYNAMIC SOUTH INC,4.0,34.5
4048,MBM ELECTRIC  INC.,4.0,5.75
4049,NEXT GENERATION ELECTRICAL CONTRACTORS LLC,4.0,0.0
4050,MILIAN QUALITY AIR LLC,4.0,229.0
4051,DELTA POLARIS  INC,4.0,117.75
4052,AC Fast Solutions  Corp,4.0,58.5
4053,DIVERSIFIED ALUMINUM SHUTTERS INC,4.0,19.25
4054,WINDMAR HOME FLORIDA INC,4.0,46.5
4055,Capital Air Inc.,4.0,223.25
4056,STUDIO PISATI INC,4.0,43.0
4057,EXCELLENT ROOFING & REPAIR SERVICES  CORP.,4.0,51.0
4058,RHI Construction Inc.,4.0,49.5
4059,JC DESIGN CONSTRUCTION OF FLORIDA CORP,3.0,71.66666666666667
4060,BRACKNEY ELECTRIC INC,3.0,26.333333333333332
4061,EXCEL ELECTRICAL GROUP INC,3.0,44.0
4062,B & P Tile and Marble Corp,3.0,8.333333333333334
4063,DOWD BUILDERS INC,3.0,293.0
4064,MARTIN ELLER BUILDING,3.0,49.666666666666664
4065,Source Refrigeration & Hvac Inc,3.0,6.333333333333333
4066,GNDD LLC,3.0,37.333333333333336
4067,ColdStream,3.0,677.6666666666666
4068,LY Construction Inc.,3.0,53.0
4069,DONATO CONSTRUCTION SERVICES LLC,3.0,281.3333333333333
4070,SOLAR VALLEY  INC.,3.0,39.666666666666664
4071,GB4 ASSOCIATES LLC,3.0,96.66666666666667
4072,INTEGRAL CONSTRUCTION CORP.,3.0,190.66666666666666
4073,Artec Designs Corp,3.0,11.666666666666666
4074,Mega Developers LLC,3.0,304.0
4075,VERZURA CONSTRUCTION  INC.,3.0,37.0
4076,JAVON INC,3.0,137.33333333333334
4077,ARMSTRONG AIR CONDITION & HEATING OF CENTRAL FLORIDA INC,3.0,622.3333333333334
4078,COMPUTER SOLUTIONS OF MIDDLE GEORGIA  INC,3.0,87.33333333333333
4079,AIR SUPPLY MECHANICAL SYSTEMS INC,3.0,107.0
4080,R J WALSH CONSTRUCTION INC,3.0,13.0
4081,FLORIDA A/C GREEN,3.0,215.66666666666666
4082,Arctica LLC,3.0,84.33333333333333
4083,ROLAN ROOFING CORP,3.0,20.0
4084,FLAMINGO FLOORS CORP,3.0,1.0
4085,PRO FACADE LLC,3.0,120.0
4086,Rumbo Draining & Paving Inc.,3.0,130.66666666666666
4087,SUN CATCHER ROOFING INC,3.0,20.0
4088,ELECTRICCITY  CONTRACTOR INC,3.0,569.3333333333334
4089,SKILCON INC,3.0,17.666666666666668
4090,CDG MECHANICAL CORP,3.0,429.6666666666667
4091,APEX 305 CORP,3.0,15.666666666666666
4092,Pulles Plumbing Co.,3.0,201.66666666666666
4093,CENTRELLX ELEVATOR COMPANY,3.0,15.0
4094,RELIABLE CONTRACTORS GROUP  INC.,3.0,48.333333333333336
4095,AJL ELECTRIC  INC.,3.0,146.0
4096,G D Construction & Management Corp.,3.0,146.66666666666666
4097,STERLING CONSTRUCTION INC.,3.0,8.666666666666666
4098,ALL TERRAIN EARTHMOVING LIMITED COMPANY,3.0,97.0
4099,JORGE HERNANDEZ ELECTRICAL CONTRACTOR LLC,3.0,91.0
4100,CONQUER BUILDERS  INC,3.0,71.66666666666667
4101,MIAMI STOREFRONT & WINDOWS  CORP,3.0,30.333333333333332
4102,BNG CONTRACTORS GROUP INC,3.0,215.66666666666666
4103,Florida Builders & Associates Corp.,3.0,9.0
4104,Florida Coastal Construction & Development Inc.,3.0,104.33333333333333
4105,CLIFFHANGER JANITORIAL INC,3.0,25.666666666666668
4106,TEXARK ROOFING CORP,3.0,19.333333333333332
4107,HAMMER POINT DEVELOPMENT CORP,3.0,288.0
4108,Railsback Pump & Control Services INC.,3.0,107.66666666666667
4109,ASCUNCE ELECTRICAL CONSTRUCTION INC,3.0,136.66666666666666
4110,General Caulking & Coating Co. Inc.,3.0,114.33333333333333
4111,MAX SERVICES & CONSTRUCTION CORP.,3.0,122.66666666666667
4112,AIR EXTRAORDINAIRE INC,3.0,303.3333333333333
4113,NNI Construction Co,3.0,102.66666666666667
4114,M & N Construction Enterprise INC.,3.0,242.33333333333334
4115,PACIFIC GLASS CORP.,3.0,153.0
4116,.JGB BUILDING LLC,3.0,155.66666666666666
4117,J & W ARCHITECTUAL FINISHES. CORP,3.0,9.0
4118,FUZE ELECTRICAL SERVICES,3.0,341.6666666666667
4119,VISUALSCAPE  INC.,3.0,121.66666666666667
4120,PTM Electric Inc.,3.0,81.0
4121,GC CONSTRUCTION AND CONSULTING SERVICES LLC,3.0,15.666666666666666
4122,ABM Building Solutions LLC,3.0,320.6666666666667
4123,ELECTRICAL SERVICE PROS LLC DBA KINGS ELECTRICIAN,3.0,32.0
4124,SOUTHERN COAST CONSTRUCTION INC,3.0,310.3333333333333
4125,AURIEMMA ELECTRIC INC,3.0,22.666666666666668
4126,Cooling Profesionals Inc,3.0,430.3333333333333
4127,VILA BUILDERS INC,3.0,31.333333333333332
4128,ELECTRICAL ALLIANCE CORPORATION,3.0,648.6666666666666
4129,Barrett Electrical Services Inc,3.0,87.0
4130,ACCUSONIC INC,3.0,14.666666666666666
4131,CUADRA CONSTRUCTION LLC,3.0,581.0
4132,MORENO CONSTRUCTION & MANAGEMENT COMPANY,3.0,363.0
4133,D & D BUILDERS GROUP INC,3.0,28.0
4134,PISTOS GROUP INCORPORATED,3.0,29.333333333333332
4135,Best Way Plumbing Inc,3.0,101.33333333333333
4136,Seaview Building Solutions,3.0,59.333333333333336
4137,HF Electric Inc,3.0,117.66666666666667
4138,ROA CONTRACTORS CORP,3.0,502.6666666666667
4139,JPG Construction Group,3.0,56.333333333333336
